"ID","clr_Ag","clr_Al","clr_As","clr_B","clr_Ba","clr_Be","clr_Bi","clr_Ca","clr_Cd","clr_Ce","clr_Co","clr_Cr","clr_Cu","clr_Fe","clr_In","clr_K","clr_La","clr_Li","clr_Mg","clr_Mn","clr_Mo","clr_Na","clr_Ni","clr_P","clr_Pb","clr_S","clr_Sb","clr_Sc","clr_Se","clr_Sn","clr_Sr","clr_Te","clr_Th","clr_Ti","clr_U","clr_V","clr_W","clr_Y","clr_Yb","clr_Zn","clr_Zr"
1,-5.87249942085111,6.69821633826697,-0.0794858124669684,-1.96047641542297,1.07447657128431,-3.79305787917128,-4.773887132183,5.09224463380936,-5.5360271842299,1.04123792980857,-0.584232390156577,1.277417415281,0.462554830646947,8.41675775263773,-6.3833250446171,5.22491060015745,0.288707900843964,-0.237709817681863,6.01886247983936,2.44135284654709,-1.89468867488496,3.42401864736612,0.153366552974202,4.73408564309813,-1.23196209102573,5.76087219719498,-4.3908948799269,-0.913859421873237,-2.89696985461464,-2.88681748315062,-0.19574561858283,-6.09564297216532,-0.252098555133962,4.60760149598901,-1.53913795815851,1.57291813585057,-3.87101942064099,-0.506523405829261,-2.52611027568395,0.812112306816815,-0.679542569960902
2,-5.58876354405708,6.80655110111163,-0.129178029912917,-1.85906209542288,1.3990344425986,-3.71696136715549,-4.74146568366987,5.2005555328685,-7.38052301328513,1.06624771383456,-0.87324530090012,1.31397919310152,0.301959433249374,8.36795718245872,-6.28191072461702,5.35911474298052,0.338162481913334,-0.0474999988986502,6.12301277965832,2.53291487010417,-1.83144692838991,3.51064526721182,0.1847522686138,4.73671841853843,-0.822325210472863,5.28297447928392,-4.43608403411869,-0.829442678241727,-2.97380376602088,-2.78540316315054,-0.0280819130415488,-6.28191072461702,-0.187588792069332,4.71461807153776,-1.68342952677973,1.59409502516998,-3.71696136715549,-0.492970441620514,-2.50532569008398,0.938219239407268,-0.57812824996082
3,-5.66109817465864,6.75469500185361,-0.201512660514478,-1.2382495454645,1.60665983835491,-3.71518802560332,-4.88790828642516,5.12822090226694,-6.75971046332675,0.920465177109843,-0.916166046295387,1.23492184810508,0.342788892447902,8.7235069151956,-6.35424535521858,5.37915343250998,0.229624802647813,-0.0626762156602627,6.05067814905676,2.48503133536677,-2.08688162886484,3.54757414021685,0.08083606596194,4.91872944012106,-0.708798457575345,5.90061745448102,-4.56248588599053,-0.932236516327996,-3.08340979141967,-2.95304797355643,0.107222821135135,-6.35424535521858,-0.267470628306276,4.5788616144987,-1.90378155899147,1.61822066075598,-3.89750958239728,-0.58592435942481,-2.69068370908894,0.865884608805707,-0.650462880562381
4,-5.5895938099608,6.78078188686065,-0.209038345175789,-2.01404304115386,1.96750602692289,-3.72884146924579,-5.05059730922811,5.33067601299581,-6.14920959789622,1.0093043994331,-0.778571569768558,1.04747697293813,0.36550309297631,8.50678997852593,-6.84235677845617,5.1405723157598,0.380209240366005,0.0245765060057166,6.0430176408119,2.77010980036267,-1.14526329195076,3.51697208951319,0.133057148999786,4.5255429144638,-0.982996071981521,5.26940518760277,-4.4444615056578,-1.0402384030791,-3.01371538196707,-2.98162706741557,0.160708680330297,-6.436891670348,-0.428897821288809,4.59260714504435,-1.37429663732103,1.45169286164586,-3.84662450490217,-0.396636959070587,-2.57967690141485,1.00149185969631,-0.984423623972706
5,-5.66442897227086,6.75136420424138,-0.11665074609124,-1.93472752363667,1.62631855896738,-3.54416543607077,-5.05829316870054,5.36236348152375,-6.35757615283081,1.15813146064805,-0.822870008218538,1.02848155821176,0.144714018043167,8.28794076841061,-6.76304126093897,5.1283206397515,0.477608433316496,-0.0721989835204062,6.01542236401535,2.6980578293844,-1.20814556699049,3.53922241155453,-0.0416155601483257,4.61062213669775,-0.663844014028105,5.09347390842134,-4.56581668360275,-0.960922885561907,-2.94532893498206,-2.94532893498206,0.139701476219623,-6.76304126093897,-0.301573084585252,4.62205083252137,-1.15540264683567,1.42286622054335,-3.71851882321555,-0.24832857006644,-2.43890860468399,0.955644234259496,-0.771576713830988
6,-5.59427327571098,6.72001295445943,-0.107699616849169,-0.989103089722884,1.56479643155207,-3.69003582305623,-5.05527677497829,5.25644981254873,-6.1538890636464,1.01815170998112,-0.920110218235932,1.01237691048724,0.226233473253368,8.38311314788696,-6.44157113609818,5.08459955562207,0.393613450049123,-0.162424516538416,5.96061638835829,2.64093586436812,-0.944402910804977,3.50593330185472,-0.0502125259314878,4.56606888548167,-0.854322477697929,5.08459955562207,-4.40468920883714,-0.994833764431869,-2.96547244626291,-2.96547244626291,0.0557064929522499,-6.84703624420634,-0.32494344603619,4.59331852792905,-1.2523248646045,1.43822488986261,-3.77898330907273,-0.347249203550489,-2.54297115100217,0.871649250992123,-0.989103089722884
7,-5.67001587417881,6.63891415679107,-0.102944445064511,-1.94031442554462,2.22479920756569,-3.6775857094886,-4.68918662116708,5.09142683321851,-6.36316305473876,1.0732577661377,-1.11613898257827,1.0433452667751,0.261344748859467,7.57161092405234,-6.36316305473876,5.35948294121354,0.358262646051888,-0.196345620152912,5.86597486372242,2.40089021460901,-0.54406973357156,3.27462133206437,-0.109334243163282,4.43641252235401,-0.773420629460103,4.73928476029976,-3.56995504529624,-0.933817425784315,-2.97313897367473,-2.71684321504361,0.283227460108974,-6.36316305473876,-0.246535364676767,4.67708855242986,-1.52953015595885,1.31624246629127,-3.82418918368048,-0.371698507630773,-2.41191933615733,0.780981002307612,-0.91069500836346
8,-5.78552682092296,6.78054855863862,-0.174834769332769,-2.05582537228877,2.06483649825071,-3.56995310491854,-4.68691453225485,5.21657302028128,-5.78552682092296,1.08314106935113,-0.832049940666651,1.04965776522434,0.468301990652515,7.40449520495519,-6.4786740014829,5.45515237972533,0.37074570048627,0.0335665002442376,6.0470637623521,2.66267349900633,-1.21081584241958,3.36470962698352,0.127976184715312,3.82470761411193,-0.669531011168876,5.06704128631032,-4.11155038735129,-0.955880638386878,-3.04468679699776,-2.70208896694986,0.184884316987192,-6.4786740014829,-0.340227264026276,4.7331463707034,-1.86025858874479,1.22508584349889,-4.11155038735129,-0.291094575448631,-2.3843294392608,0.939906901265224,-0.574220831364551
9,-5.71438584443684,6.75953053132545,-0.675579673373889,-2.13883507562991,2.05081966639652,-3.4118007514428,-4.76992423559599,5.1195770749654,-6.27400163237226,1.17170793776412,-0.938870292701511,1.01390094673375,0.339382586007296,7.85266335422893,-6.27400163237226,5.73056663694718,0.553085743542419,-0.00112462582609618,6.03417623609506,2.53958557209778,-1.42197136845265,3.34180384771208,-0.00112462582609618,3.7659816647524,-0.694271806386042,5.60530155199808,-4.29300016350568,-1.05364580729394,-3.06517614335756,-2.80048358913048,0.623703310756372,-6.27400163237226,-0.360498626733994,4.58979353745479,-2.05817717261245,1.29256814808931,-3.69000407994003,-0.25784447267391,-2.45080984065073,0.987925460330487,-0.752540714510017
10,-6.36668854247128,6.60485194519847,-0.152080444049084,-1.25069273271719,1.91055397931437,-3.80173918500974,-4.98039418135139,5.20135622172003,-6.77215365057944,0.865562782085358,-1.15538255291287,1.15805255610524,-0.106469932797032,8.30748363453052,-6.36668854247128,5.37999065292518,0.2710062654089,-0.264875938194428,5.78633488196908,2.42307308358669,-0.908522474981343,3.64415752838535,-0.213955847767171,4.485879564762,-0.656261525096406,5.77217535336545,-3.77642137702545,-1.07171007718875,-3.26060821174842,-2.80186173702732,0.405628765615757,-6.0790064700195,-0.302903333783668,4.62984025368351,-2.02288312061759,1.640789519463,-2.9993927124848,-0.577748259474768,-2.68617733802786,0.75078726749293,-0.662906067815074
